timestamp,sensor_1,sensor_2
1700056985.5328782,77.55,36.19
1700056985.60546,79.94,38.34
1700056985.6766465,79.14,38.87
1700056985.749164,74.56,38.14
1700056985.821647,77.88,37.50
1700056985.8928442,76.31,34.22
1700056985.96539,78.63,37.21
1700056986.0368202,81.94,36.43
1700056986.1081524,77.67,38.38
1700056986.180838,73.06,37.01
1700056986.2528424,75.24,38.09
1700056986.3250165,78.66,40.27
1700056986.3966422,79.61,39.88
1700056986.4684033,76.17,38.63
1700056986.5404565,72.99,36.24
1700056986.6129756,73.16,37.78
1700056986.6846528,74.47,38.81
1700056986.756796,76.14,39.92
1700056986.8287969,76.19,37.92
1700056986.9005485,76.86,36.19
1700056986.9731963,76.92,35.11
1700056987.0441904,73.69,38.31
1700056987.1167762,78.95,40.80
1700056987.189421,75.98,37.90
1700056987.2610047,76.38,35.12
1700056987.332004,73.80,38.16
1700056987.4045575,68.62,37.05
1700056987.4762611,77.62,38.25
1700056987.549229,74.09,36.58
1700056987.6207893,77.11,35.38
1700056987.693373,74.78,35.60
1700056987.7648613,71.21,37.54
1700056987.836857,71.98,37.12
1700056987.908339,73.05,34.94
1700056987.9804604,74.99,35.04
1700056988.0524397,73.81,36.84
1700056988.1249578,72.41,37.09
1700056988.1966884,74.95,37.43
1700056988.268299,72.79,35.40
1700056988.3412936,75.50,37.66
1700056988.4128604,74.42,34.72
1700056988.4845319,72.15,39.51
1700056988.5570517,72.21,35.42
1700056988.6290512,70.44,36.69
1700056988.7008054,76.60,35.30
1700056988.7723317,74.57,37.82
1700056988.8452945,69.91,39.55
1700056988.916916,69.98,34.98
1700056988.9889047,67.74,34.86
1700056989.0603611,72.04,36.60
1700056989.1324103,74.47,38.71
1700056989.204996,71.36,35.78
1700056989.2765002,70.70,35.36
1700056989.3485818,71.04,34.98
1700056989.4202113,72.09,36.73
1700056989.4925728,71.95,37.60
1700056989.5651405,70.41,38.02
1700056989.6371434,70.80,34.44
1700056989.7085748,71.13,35.31
1700056989.7802806,69.89,37.51
1700056989.8532393,71.09,38.40
1700056989.9245908,71.69,36.19
1700056989.9967756,69.67,36.45
1700056990.0681143,69.42,35.37
1700056990.1410651,69.83,37.69
1700056990.2128997,68.34,37.72
1700056990.2855208,70.20,35.54
1700056990.3564937,70.72,36.01
1700056990.4286225,70.18,34.90
1700056990.5007668,66.14,39.69
1700056990.5732393,69.37,38.33
1700056990.6452813,68.18,36.15
1700056990.7168581,70.96,34.99
1700056990.7890255,68.98,37.51
1700056990.8610864,67.85,40.07
1700056990.933116,69.32,36.93
1700056991.0045602,68.72,37.76
1700056991.077191,71.05,35.74
1700056991.148194,68.81,35.08
1700056991.2202601,64.86,40.62
1700056991.2924597,68.55,36.91
1700056991.3640826,66.75,36.61
1700056991.4370248,68.04,37.40
1700056991.5085986,68.07,37.10
1700056991.5811548,66.92,39.38
1700056991.6522174,69.71,37.74
1700056991.7248278,65.62,35.10
1700056991.7963336,68.78,36.60
1700056991.8688762,67.90,37.53
1700056991.9408782,67.55,39.65
1700056992.0129685,63.93,36.52
1700056992.0851367,63.60,35.11
1700056992.1571362,67.95,36.23
1700056992.228527,67.37,37.87
1700056992.301306,65.96,39.52
1700056992.3728778,64.56,36.30
1700056992.4448597,64.27,34.94
1700056992.516502,64.99,37.91
1700056992.588022,68.24,36.96
1700056992.6616244,66.27,37.20
1700056992.7326772,64.51,35.76
1700056992.804257,63.88,36.88
1700056992.8768444,64.82,36.40
1700056992.9489849,65.79,37.50
1700056993.0207427,66.74,36.16
1700056993.093274,64.39,34.68
1700056993.1649377,65.36,36.67
1700056993.2369962,65.87,39.80
1700056993.308478,67.86,37.64
1700056993.3800883,64.70,37.04
1700056993.452151,64.47,34.54
1700056993.5247278,64.17,36.52
1700056993.5961978,62.29,39.57
1700056993.668666,64.76,39.38
1700056993.7406652,64.18,35.07
1700056993.8122025,66.56,36.22
1700056993.8847492,65.23,35.09
1700056993.9567428,62.00,39.32
1700056994.0294247,64.80,37.45
1700056994.1006587,63.66,35.83
1700056994.1731954,66.09,36.07
1700056994.2451982,63.83,32.67
1700056994.3167748,63.20,37.12
1700056994.3883653,67.09,39.55
1700056994.4608817,62.85,34.29
1700056994.532917,65.96,35.62
1700056994.6051843,66.19,36.23
1700056994.6767943,61.80,36.90
1700056994.74886,63.05,37.03
1700056994.8204472,61.62,34.72
1700056994.893031,65.23,35.70
1700056994.9646482,66.00,36.86
1700056995.0376675,60.92,40.04
1700056995.1086946,61.33,37.65
1700056995.1807854,59.89,35.58
1700056995.252806,65.39,36.32
1700056995.3241942,62.91,35.83
1700056995.3967404,63.03,38.37
1700056995.4684644,60.22,38.45
1700056995.5405767,59.92,36.58
1700056995.6132312,64.56,37.70
1700056995.6845198,63.87,35.68
1700056995.7566156,61.61,38.97
1700056995.82914,59.70,34.69
1700056995.9007907,59.53,36.22
1700056995.973405,66.07,36.32
1700056996.0444777,62.67,36.74
1700056996.1166718,60.13,37.19
1700056996.1893387,61.08,36.09
1700056996.261305,60.11,35.64
1700056996.3328204,57.26,38.32
1700056996.404395,63.22,36.83
1700056996.47622,61.15,39.05
1700056996.5491571,61.90,35.13
1700056996.6207695,58.26,37.38
1700056996.6922464,61.63,36.19
1700056996.7647839,66.09,39.08
1700056996.8367913,62.60,38.09
1700056996.9084864,60.84,34.91
1700056996.9807827,63.54,35.61
1700056997.0526836,60.29,36.89
1700056997.1248922,65.28,38.42
1700056997.197406,64.83,35.43
1700056997.2689803,63.30,36.42
1700056997.3409834,59.00,35.45
1700056997.4127524,59.83,37.25
1700056997.484291,62.14,40.68
1700056997.556374,61.85,36.08
1700056997.6284382,59.60,34.49
1700056997.7005668,58.59,35.61
1700056997.7731538,57.75,38.73
1700056997.845092,56.97,37.69
1700056997.9166954,58.33,34.58
1700056997.9893594,87.28,34.51
1700056998.0603716,59.13,35.22
1700056998.1333723,58.04,36.59
1700056998.2049396,60.23,35.47
1700056998.2772472,62.32,35.69
1700056998.3482485,63.46,35.67
1700056998.420497,58.76,34.82
1700056998.492688,57.12,38.23
1700056998.5646365,57.20,36.40
1700056998.6361485,57.55,38.64
1700056998.7086923,60.59,35.37
1700056998.780331,58.69,35.78
1700056998.8523958,55.58,37.02
1700056998.9248936,58.19,36.18
1700056998.9975762,56.00,35.32
1700056999.0691326,59.41,36.07
1700056999.1407669,58.02,36.57
1700056999.2133067,59.53,38.91
1700056999.2850277,57.19,36.07
1700056999.3570623,58.94,36.24
1700056999.4286616,58.72,34.94
1700056999.5010324,59.16,35.27
1700056999.5725935,57.31,38.50
1700056999.6456244,56.30,34.90
1700056999.7171714,55.45,35.30
1700056999.7888658,58.14,36.37
1700056999.8608053,59.89,37.61
1700056999.9333205,54.97,35.38
1700057000.0049229,56.61,36.22
1700057000.0764427,57.97,35.60
1700057000.1484513,56.23,37.00
1700057000.2200408,56.93,35.34
1700057000.2926097,56.26,35.91
1700057000.3646889,55.12,35.72
1700057000.4362133,55.21,35.79
1700057000.5088873,57.41,38.32
1700057000.580374,57.34,37.39
1700057000.6524494,49.76,35.09
1700057000.7248333,58.95,35.86
1700057000.7964826,54.60,35.21
1700057000.8695772,56.13,37.31
1700057000.940627,55.63,38.20
1700057001.01298,54.19,35.39
1700057001.0855727,59.02,34.84
1700057001.1565714,55.88,35.54
1700057001.2283254,55.00,35.75
1700057001.30095,56.64,37.64
1700057001.372979,55.12,36.28
1700057001.444978,57.67,35.42
1700057001.5165768,55.88,34.19
1700057001.5881336,54.67,35.28
1700057001.6611936,55.91,38.13
1700057001.7327256,57.14,38.11
1700057001.805266,59.07,35.55
1700057001.8767948,56.09,34.28
1700057001.9487903,55.02,36.39
1700057002.0204198,56.37,38.26
1700057002.0938184,54.15,35.31
1700057002.164732,59.14,35.99
1700057002.23687,56.46,36.62
1700057002.3084638,56.49,37.07
1700057002.3809524,55.41,34.18
1700057002.4529471,55.82,34.48
1700057002.5244672,59.17,35.17
1700057002.5970292,57.81,35.66
1700057002.669056,55.80,37.33
1700057002.7405872,54.51,37.46
1700057002.813144,54.15,33.56
1700057002.884608,58.49,35.53
1700057002.9566655,56.33,37.68
1700057003.0291755,55.89,36.98
1700057003.100762,54.50,36.36
1700057003.1724453,55.22,33.99
1700057003.2450433,56.33,37.54
1700057003.3166294,55.18,37.21
1700057003.388917,52.26,35.98
1700057003.4609783,54.37,36.51
1700057003.5324595,51.34,37.14
1700057003.605109,56.36,35.11
1700057003.676645,57.94,36.71
1700057003.7486994,54.70,36.99
1700057003.821297,53.89,35.09
1700057003.892809,55.53,34.89
1700057003.9649243,55.84,36.42
1700057004.0363753,54.90,36.49
1700057004.108897,51.32,35.63
1700057004.1814907,54.37,35.43
