timestamp,sensor_1,sensor_2
1700069352.8219159,148.42,108.20
1700069352.8944907,140.55,109.36
1700069352.9670053,140.52,107.01
1700069353.0382526,138.56,104.14
1700069353.110833,139.27,102.22
1700069353.182458,148.97,108.98
1700069353.2536817,141.85,108.57
1700069353.325891,137.93,106.40
1700069353.3988898,141.06,102.80
1700069353.4706662,139.63,103.01
1700069353.5426676,148.77,109.85
1700069353.6142292,143.17,108.66
1700069353.6857557,137.22,104.92
1700069353.7587676,139.81,100.85
1700069353.830726,136.17,105.00
1700069353.9025543,150.77,107.68
1700069353.9741173,138.95,108.03
1700069354.046413,138.50,105.37
1700069354.118375,143.90,102.67
1700069354.1903942,139.28,103.95
1700069354.262673,151.65,107.08
1700069354.3348353,141.67,108.31
1700069354.4063756,140.97,105.13
1700069354.4787066,138.56,102.42
1700069354.5505753,139.26,103.20
1700069354.6225383,151.12,107.56
1700069354.6948574,151.24,109.72
1700069354.7668557,134.02,103.27
1700069354.8378906,129.62,101.90
1700069354.9103942,142.83,104.15
1700069354.9829233,151.49,109.01
1700069355.053931,140.95,106.53
1700069355.1269088,148.78,104.48
1700069355.1986122,135.30,101.67
1700069355.2701461,138.22,104.74
1700069355.3425076,146.51,108.19
1700069355.4140356,137.53,108.81
1700069355.4856334,138.45,104.54
1700069355.558641,137.28,101.80
1700069355.630286,138.89,104.55
1700069355.7024236,151.52,109.10
1700069355.7736087,139.05,107.99
1700069355.8466053,139.94,103.37
1700069355.9182036,140.04,103.53
1700069355.9898524,141.26,105.35
1700069356.0625043,152.83,106.93
1700069356.134554,133.07,107.60
1700069356.2061691,141.85,103.62
1700069356.2785783,145.78,103.59
1700069356.3497953,145.21,104.11
1700069356.422341,148.61,108.87
1700069356.4940114,142.79,105.79
1700069356.5668004,132.29,105.39
1700069356.6387334,141.65,102.72
1700069356.7102094,142.01,104.03
1700069356.7827644,150.72,108.30
1700069356.8544974,148.67,108.53
1700069356.9270024,148.64,103.65
1700069356.9981747,144.53,103.11
1700069357.0707335,138.77,104.84
1700069357.1417298,149.53,109.49
1700069357.2142808,139.37,107.94
1700069357.2864852,132.60,103.54
1700069357.358597,137.40,102.01
1700069357.4301517,146.86,103.79
1700069357.5026183,151.93,108.33
1700069357.5741847,134.70,106.22
1700069357.646535,137.13,102.62
1700069357.7192256,150.78,101.85
1700069357.7903945,140.37,105.63
1700069357.8628259,151.17,107.33
1700069357.934453,144.02,106.14
1700069358.0067756,149.67,102.63
1700069358.0783541,141.39,100.98
1700069358.1503541,139.59,103.15
1700069358.222413,153.94,106.67
1700069358.2949457,140.62,104.36
1700069358.3664558,137.24,101.23
1700069358.4380207,138.75,100.45
1700069358.5105162,137.84,105.64
1700069358.5826333,149.57,107.50
1700069358.6546469,137.90,105.21
1700069358.7261987,137.89,100.67
1700069358.7977726,134.17,101.17
1700069358.8703537,138.57,103.28
1700069358.943378,150.86,109.61
1700069359.0151255,144.08,109.04
1700069359.086499,141.37,105.53
1700069359.158564,144.24,105.18
1700069359.2302256,140.11,103.25
1700069359.3027878,148.70,106.58
1700069359.3743386,142.14,104.28
1700069359.4466994,133.31,101.92
1700069359.5186737,139.48,100.74
1700069359.590972,138.94,102.58
1700069359.661977,147.08,105.12
1700069359.734225,132.93,105.45
1700069359.805763,136.54,101.36
1700069359.8783178,142.04,103.76
1700069359.950325,140.66,107.07
1700069360.022552,146.76,105.66
1700069360.0941758,139.91,104.83
1700069360.1661854,135.01,102.59
1700069360.2387187,139.15,101.16
1700069360.3102477,137.22,105.23
1700069360.3817828,146.93,107.23
1700069360.4543145,138.67,103.68
1700069360.5268416,138.28,100.92
1700069360.5982044,141.25,101.86
1700069360.669962,138.75,105.93
1700069360.7420156,147.58,107.15
1700069360.8145223,139.53,108.75
1700069360.886057,142.30,106.17
1700069360.9580631,140.42,104.71
1700069361.030606,139.93,110.22
1700069361.1021202,153.88,112.41
1700069361.1746893,145.21,109.70
1700069361.24669,140.21,106.70
1700069361.318244,143.30,103.86
1700069361.390404,143.34,109.76
1700069361.4619565,147.09,109.72
1700069361.5345027,139.42,108.61
1700069361.6067,140.65,103.66
1700069361.6779468,142.18,104.55
1700069361.7508833,141.69,109.00
1700069361.8224287,142.37,110.09
1700069361.894593,141.37,107.33
1700069361.9666648,140.41,104.19
1700069362.0381923,150.88,106.08
1700069362.1104584,144.03,110.41
1700069362.1826699,152.21,112.91
1700069362.2546742,144.67,110.38
1700069362.3263373,135.38,105.98
1700069362.3989227,141.71,107.35
1700069362.4709704,145.30,110.85
1700069362.5429792,158.52,113.69
1700069362.6146104,143.37,109.97
1700069362.686254,139.17,105.04
1700069362.7582753,139.88,105.68
1700069362.8305979,135.49,108.95
1700069362.9023762,153.42,112.20
1700069362.9749742,145.77,110.82
1700069363.0459962,141.15,106.77
1700069363.1185086,147.85,107.25
1700069363.1906905,146.62,111.56
1700069363.2626936,160.23,114.16
1700069363.3342109,141.82,109.00
1700069363.4067793,136.61,101.46
1700069363.4784553,138.27,101.48
1700069363.5504577,143.40,105.41
1700069363.6219835,151.01,106.63
1700069363.6940541,140.08,104.59
1700069363.7660644,134.83,100.31
1700069363.8385775,139.17,102.81
1700069363.910114,137.30,105.17
1700069363.9826636,147.86,108.47
1700069364.0546675,133.41,104.94
1700069364.1261873,147.88,99.77
1700069364.19833,141.64,101.32
1700069364.2703843,140.03,105.31
1700069364.3419108,145.78,106.90
1700069364.41444,135.94,104.39
1700069364.4868412,137.36,104.12
1700069364.5588417,142.67,106.00
1700069364.6303613,139.30,110.00
1700069364.701889,143.73,113.89
1700069364.7744558,139.76,109.16
1700069364.846457,137.65,105.42
1700069364.918455,142.75,103.09
1700069364.9902,145.22,109.06
1700069365.062211,147.95,113.22
1700069365.134742,139.24,110.03
1700069365.2062764,135.44,105.56
1700069365.2789326,144.83,107.55
1700069365.3499224,145.76,111.79
1700069365.4225247,150.50,112.93
1700069365.4940767,139.75,111.04
1700069365.5663767,138.87,107.04
1700069365.6389604,149.35,107.93
1700069365.7104998,139.25,112.02
1700069365.7820625,144.96,112.38
1700069365.854062,137.06,106.44
1700069365.926597,135.33,101.52
1700069365.9981325,141.43,101.58
1700069366.0701358,137.97,106.25
1700069366.1426651,148.43,108.22
1700069366.2142038,134.81,106.03
1700069366.285776,134.46,101.52
1700069366.3587933,140.26,102.95
1700069366.430324,140.77,106.28
1700069366.5019312,144.23,107.52
1700069366.5738387,138.63,103.28
1700069366.6458516,134.27,100.46
1700069366.7182078,139.57,102.04
1700069366.7907615,136.34,105.53
1700069366.8618376,145.29,106.80
1700069366.934593,134.22,103.70
1700069367.0061095,133.74,102.07
1700069367.0786765,143.04,101.30
1700069367.1506755,139.15,104.84
1700069367.2222006,143.48,108.20
1700069367.293751,139.43,103.60
1700069367.3667333,136.79,101.77
1700069367.438251,135.81,102.23
1700069367.5098615,140.32,104.99
1700069367.5819428,146.09,107.39
1700069367.6549268,136.53,103.73
1700069367.7264426,137.33,101.85
1700069367.7989788,137.94,101.94
1700069367.8699868,138.13,106.59
1700069367.942512,146.28,107.91
1700069368.0150445,138.26,104.72
1700069368.0864599,138.78,104.63
1700069368.1584637,146.61,106.50
1700069368.2300308,144.04,109.79
